element_type,osmid,historic,name,website,geometry,description,name:de,subject:wikidata,designation,material,old_name,source,mapillary,memorial,artist_name,ele,start_date,direction,inscription,image,toilets:wheelchair,wheelchair,memorial:type,artwork_type,source:date,url,fixme,name:en,alt_name,note,addr:city,addr:housenumber,addr:postcode,addr:street,wikipedia,wikidata,height,bench,memorial:conflict,man_made,contact:facebook,official_name,source:url,nodes,building,area,year,name:ru,tourism,description:de,description:en,opening_hours,reservation,name:it,artwork_subject,addr:conscriptionnumber,heritage,ref,tower:type,url:tuhu,amenity,drinking_water,lit,name:tr,name:hu,is_in,survey:date,url:turatars,name:sk,ref:tajertek,website:en,website:tajertek,genus,leaf_cycle,leaf_type,natural,species,species:hu,description:hu,description:ru,inscription:de,inscription:hu,denomination,religion,url:miserend,covered,operator,board_type,information,created_by,name:cs,FIXME,wikimedia_commons,colour,ref:kozterkep,url:kozterkep,heritage:website,subject:wikipedia,url:templom,url:csendhegyek,support,inscription:pl,location,surface,name:etymology:wikidata,name:es,name:zh,name:ca,name:fr,name:he,name:nl,artist:wikidata,artist_name:hu,contact:email,contact:instagram,contact:website,architect,name:el,name:gag,name:ja,statue,addr:place,note:en,name:lt,addr:suburb,country,flag:name,flag:type,flag:wikidata,subject,statue:animal,internet_access,internet_access:fee,internet_access:ssid,ref:source,addr:country,entrance,construction_date,name:pl,name:ge,source:website,brand,description:2,description:3,url:2,wheelchair:description,url:geocaching.hu,url:kozterkep.hu,fountain,leisure,protect_class,url:artportal,source:inscription,date,url:1,url:mno,loc_name,inscription:2,url:iho,esperanto,display,url:webetyek,width,source:description,source:name,inscription:1,accuracy,name:uk,artist:wikipedia,backrest,inscription:eo,name:eo,description:1,ruins,name:be,url:hadisir,memorial:addr,ref:url,indoor,addr:subdistrict,checkpoint:type,strapline,inscription_1,access,description:fr,description:it,description:nl,description:pl,description:zh,inscription:en,inscription:ru,inscription:fr,inscription:it,inscription:zh,ele:ellipsoid,name:fi,name:int,name:ko,name:pt,layer,taxon,taxon:en,taxon:genus,taxon:hu,architect:wikipedia,landuse,barrier,fence_type,building:levels,url:geocaching,url:velenceito,shelter,imagery_used,disused,archaeological_site,site_type,wikipedia:de,wikipedia:en,name:etymology:wikipedia,disused:amenity,addr:province,contact:youtube,url:bushcraft,url:kesportal,url:vadonszava,url:zmne,url:Jokai,website:3,wikipedia:2,shop,railway,place,tomb,blind,blind:description:en,blind:description:hu,description:sr,phone,memorial:text,person:date_of_birth,person:date_of_death,addr:district,memorial:name,highway,year_of_construction,level,ways,type,boundary,name:ro,openplaques:id,wikipedia:sk,website:hu,wikipedia:hu,name_alt,was:denomination,was:historic,was:religion,checkpoint,course,disused:man_made,historic:civilization,inscription:url,bus,lines,public_transport
node,431295269,memorial,Ilonka pihenő,https://www.pecsma.hu/top/tragikus-szerelem-halalos-beteg-felesegnek-epult-mecseki-piheno/,POINT (18.2313319 46.0895165),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,448229638,memorial,László pihenő,,POINT (18.2238871 46.0896272),"Zsiga László gyógyszertár tulajdonosnak, a Mecsek Egyesület egyik tagjának építették, Hoffmann László tervei alapján, 1926. májusában.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,452639306,memorial,Lenkei pihenő,,POINT (18.2347244 46.0917715),"1934-ben építették Lenkei Lajos újságíró emlékére, aki a Mecsek egyesület örökös tagja volt.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1119739099,memorial,Niké-szobor,https://www.kozterkep.hu/580/szarnyas-nike,POINT (18.2224524 46.0876147),1975-ben Magyarország felszabadulásának harmincadik évfordulójára Pécs városa emlékművet állíttatott a Mecsekben. Makrisz Agamemnon szobrász és Jánossy György építész közös munkája.,,,statue,bronze,Felszabadulási emlékmű,visited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1748422599,memorial,Szaniszló pihenő,https://hu.wikipedia.org/wiki/Mócs_Szaniszló_Gyula,POINT (18.2284314 46.0959274),"Mócs Szaniszló (1862-1904) Ciszterci szerzetes tanár, részletek a weboldalon.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1752695806,memorial,56-os kopjafa,,POINT (18.2242545 46.0792025),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1754644227,memorial,Rotary emlékkő,,POINT (18.2091284 46.1018748),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1754644890,memorial,Honfoglalás-emlékmű,https://turistautak.openstreetmap.hu/mefo/pdf/Lapisi_emlekmu.pdf,POINT (18.1970957 46.1120289),"A Mecsekben található 7 féle kőből épült, a Honfoglalás 1100. évfordulója alkalmából 1996-ban. pdf fileban részletek!",,,,,,,1.74589E+15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2053064125,memorial,Kossuth Lajos,https://www.kozterkep.hu/478/kossuth-lajos,POINT (18.2298338 46.0740379),Az 1908. május 10-én felavatott szobor alkotója Horvay János.,,,,metal,,,,statue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2074368110,memorial,Szepessy Ignác püspök,https://www.kozterkep.hu/61/szepessy-ignacz-szobor,POINT (18.2237344 46.0777886),,,,,,,,,statue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
